"","ROI","p_2min2","p_ravlt2","r1","r2","direct","indirect","total"
"5","lh_temporal",1,0.98475,"0.0186***","1.0836**","0.1069.","0.0201***","0.1270*"
"7","rh_occipital",1,0.990666666666667,"0.0229***","0.8398*","0.1078*","0.0192**","0.1270**"
"10","rh_temporal",1,0.991083333333333,"0.0197***","1.0937**","0.1055.","0.0215***","0.1270*"
"2","lh_occipital",0.999916666666667,0.958583333333333,"0.0200***","0.5125 ","0.1168*","0.0102 ","0.1270*"
"8","rh_parietal",0.99975,0.9645,"0.0167***","0.6678.","0.1158*","0.0112*","0.1270*"
"3","lh_parietal",0.999416666666667,0.91775,"0.0165**","0.3789 ","0.1208.","0.0063 ","0.1270*"
"1","lh_frontal",0.952,0.873,"0.0072 ","0.3118 ","0.1248*","0.0022 ","0.1270*"
"4","lh_subcortical",0.933583333333333,0.96525,"0.0054 ","1.0895*","0.1211*","0.0059 ","0.1270*"
"6","rh_frontal",0.928583333333333,0.90375,"0.0058 ","0.4005 ","0.1247*","0.0023 ","0.1270*"
"9","rh_subcortical",0.88325,0.965333333333333,"0.0041 ","0.9265.","0.1232*","0.0038 ","0.1270*"
