"","ROI_lvl2","ROI_lvl1","p_2min1","p_flanker1","r1","r2","direct","indirect","total"
"1","lh_frontal","lh_insula",0.996,0.967083333333333,"0.0133*","0.7933*","0.1994***","0.0106*","0.2100***"
"2","lh_frontal","lh_lateralorbitofrontal",0.988083333333333,0.9705,"0.0133*","0.7933*","0.1994***","0.0106*","0.2100***"
"3","lh_occipital","lh_lateraloccipital",1,0.997333333333333,"0.0187***","0.7536*","0.1959***","0.0141.","0.2100***"
"4","lh_occipital","lh_lingual",1,0.996583333333333,"0.0187***","0.7536*","0.1959***","0.0141.","0.2100***"
"5","lh_occipital","lh_pericalcarine",1,0.993083333333333,"0.0187***","0.7536*","0.1959***","0.0141.","0.2100***"
"6","lh_occipital","lh_cuneus",0.999333333333333,0.98625,"0.0187***","0.7536*","0.1959***","0.0141.","0.2100***"
"7","lh_occipital","lh_precuneus_parietal",0.999833333333333,0.989166666666667,"0.0187***","0.7536*","0.1959***","0.0141.","0.2100***"
"8","lh_parietal","lh_supramarginal",0.999333333333333,0.953916666666667,"0.0146**","0.5808 ","0.2015***","0.0085 ","0.2100***"
"9","lh_parietal","lh_isthmuscingulate",0.997583333333333,0.960833333333333,"0.0146**","0.5808 ","0.2015***","0.0085 ","0.2100***"
"10","lh_temporal","lh_superiortemporal",1,0.999416666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"11","lh_temporal","lh_parahippocampal",0.99875,0.99975,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"12","lh_temporal","lh_transversetemporal",0.999833333333333,0.999916666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"13","lh_temporal","lh_middletemporal",1,0.998666666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"14","lh_temporal","lh_entorhinal",0.999833333333333,0.998916666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"15","lh_temporal","lh_fusiform",0.999833333333333,0.9975,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"16","lh_temporal","lh_inferiortemporal",1,0.998833333333333,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"17","lh_temporal","lh_bankssts",0.999916666666667,0.99875,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"18","lh_temporal","lh_temporalpole",0.999916666666667,0.999833333333333,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"19","rh_occipital","rh_lateraloccipital",1,0.986583333333333,"0.0216***","0.5108 ","0.1990**","0.0110 ","0.2100***"
"20","rh_occipital","rh_cuneus",1,0.971333333333333,"0.0216***","0.5108 ","0.1990**","0.0110 ","0.2100***"
"21","rh_occipital","rh_lingual",1,0.990583333333333,"0.0216***","0.5108 ","0.1990**","0.0110 ","0.2100***"
"22","rh_occipital","rh_pericalcarine",1,0.9605,"0.0216***","0.5108 ","0.1990**","0.0110 ","0.2100***"
"23","rh_occipital","rh_precuneus_parietal",1,0.966583333333333,"0.0216***","0.5108 ","0.1990**","0.0110 ","0.2100***"
"24","rh_parietal","rh_supramarginal",0.99975,0.975083333333333,"0.0159**","0.7418.","0.1982***","0.0118*","0.2100***"
"25","rh_parietal","rh_isthmuscingulate",0.999666666666667,0.987416666666667,"0.0159**","0.7418.","0.1982***","0.0118*","0.2100***"
"26","rh_parietal","rh_inferiorparietal",0.99975,0.972,"0.0159**","0.7418.","0.1982***","0.0118*","0.2100***"
"27","rh_parietal","rh_posteriorcingulate",0.999166666666667,0.978416666666667,"0.0159**","0.7418.","0.1982***","0.0118*","0.2100***"
"28","rh_temporal","rh_entorhinal",1,0.99975,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"29","rh_temporal","rh_transversetemporal",0.999916666666667,0.998083333333333,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"30","rh_temporal","rh_fusiform",1,0.99975,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"31","rh_temporal","rh_inferiortemporal",1,0.999,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"32","rh_temporal","rh_middletemporal",1,0.997583333333333,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"33","rh_temporal","rh_bankssts",1,0.998166666666667,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"34","rh_temporal","rh_temporalpole",1,1,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"35","rh_temporal","rh_parahippocampal",0.9995,0.999416666666667,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"36","rh_temporal","rh_superiortemporal",0.999916666666667,0.999,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
