"","ROI_lvl2","ROI_lvl1","p_2min1","p_ravlt1","r1","r2","direct","indirect","total"
"1","lh_occipital","lh_lateraloccipital",1,0.978833333333333,"0.0207***","0.6803*","0.1129*","0.0141*","0.1270*"
"2","lh_occipital","lh_lingual",1,0.979083333333333,"0.0207***","0.6803*","0.1129*","0.0141*","0.1270*"
"3","lh_subcortical","lh_Amygdala",0.997083333333333,0.977916666666667,"0.0141*","0.9103**","0.1141*","0.0129*","0.1270*"
"4","lh_subcortical","lh_Hippocampus",0.993666666666667,0.987166666666667,"0.0141*","0.9103**","0.1141*","0.0129*","0.1270*"
"5","lh_temporal","lh_inferiortemporal",1,0.968916666666667,"0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"6","lh_temporal","lh_middletemporal",1,0.983333333333333,"0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"7","lh_temporal","lh_superiortemporal",1,0.985916666666667,"0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"8","lh_temporal","lh_temporalpole",0.999916666666667,0.993666666666667,"0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"9","lh_temporal","lh_parahippocampal",0.99875,0.990666666666667,"0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"10","lh_temporal","lh_bankssts",0.999916666666667,0.95425,"0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"11","lh_temporal","lh_transversetemporal",0.999833333333333,0.984416666666667,"0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"12","lh_temporal","lh_entorhinal",0.999833333333333,0.974916666666667,"0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"13","rh_occipital","rh_lateraloccipital",1,0.99625,"0.0229***","0.8398*","0.1078.","0.0192**","0.1270*"
"14","rh_occipital","rh_lingual",1,0.995166666666667,"0.0229***","0.8398*","0.1078.","0.0192**","0.1270*"
"15","rh_occipital","rh_cuneus",1,0.991666666666667,"0.0229***","0.8398*","0.1078.","0.0192**","0.1270*"
"16","rh_occipital","rh_pericalcarine",1,0.97325,"0.0229***","0.8398*","0.1078.","0.0192**","0.1270*"
"17","rh_occipital","rh_precuneus_parietal",1,0.990083333333333,"0.0229***","0.8398*","0.1078.","0.0192**","0.1270*"
"18","rh_parietal","rh_inferiorparietal",0.99975,0.959083333333333,"0.0162**","0.5623 ","0.1179*","0.0091 ","0.1270*"
"19","rh_parietal","rh_superiorparietal",0.999416666666667,0.9505,"0.0162**","0.5623 ","0.1179*","0.0091 ","0.1270*"
"20","rh_parietal","rh_posteriorcingulate",0.999166666666667,0.962833333333333,"0.0162**","0.5623 ","0.1179*","0.0091 ","0.1270*"
"21","rh_parietal","rh_supramarginal",0.99975,0.96475,"0.0162**","0.5623 ","0.1179*","0.0091 ","0.1270*"
"22","rh_subcortical","rh_Hippocampus",0.990583333333333,0.98675,"0.0153*","0.7372*","0.1157*","0.0113*","0.1270*"
"23","rh_temporal","rh_bankssts",1,0.976166666666667,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"24","rh_temporal","rh_middletemporal",1,0.970333333333333,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"25","rh_temporal","rh_entorhinal",1,0.986083333333333,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"26","rh_temporal","rh_superiortemporal",0.999916666666667,0.975083333333333,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"27","rh_temporal","rh_temporalpole",1,0.996166666666667,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"28","rh_temporal","rh_fusiform",1,0.985166666666667,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"29","rh_temporal","rh_inferiortemporal",1,0.987916666666667,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"30","rh_temporal","rh_transversetemporal",0.999916666666667,0.990833333333333,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"31","rh_temporal","rh_parahippocampal",0.9995,0.995416666666667,"0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
