"","ROI","p_2min2","p_totcog2","p_ravlt2","p_flanker2"
"1","lh_frontal",0.952,0.930416666666667,0.873,0.945833333333333
"2","lh_occipital",0.999916666666667,0.99975,0.958583333333333,0.995166666666667
"3","lh_parietal",0.999416666666667,0.996416666666667,0.91775,0.962
"4","lh_subcortical",0.933583333333333,0.8365,0.96525,0.637416666666667
"5","lh_temporal",1,1,0.98475,0.999666666666667
"6","rh_frontal",0.928583333333333,0.853,0.90375,0.8625
"7","rh_occipital",1,0.99925,0.990666666666667,0.985416666666667
"8","rh_parietal",0.99975,0.990166666666667,0.9645,0.984583333333333
"9","rh_subcortical",0.88325,0.839833333333333,0.965333333333333,0.644416666666667
"10","rh_temporal",1,1,0.991083333333333,0.999583333333333
